Date,Label,1,2,3,4,5,6,7,8,9,10,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,top51,top52,top53,top54,top55,top56,top57
2020-05-20,0,-6.800003000000004,0.1600040000000007,2.4700010000000105,-1.4299999999999926,0.20999899999999627,-0.7000039999999927,0.629997000000003,0.1900020000000069,-1.5699999999999932,-1.9099959999999925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-21,1,-1.0400010000000037,-6.800003000000004,0.1600040000000007,2.4700010000000105,-1.4299999999999926,0.20999899999999627,-0.7000039999999927,0.629997000000003,0.1900020000000069,-1.5699999999999932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-22,0,0.09999899999999684,-1.0400010000000037,-6.800003000000004,0.1600040000000007,2.4700010000000105,-1.4299999999999926,0.20999899999999627,-0.7000039999999927,0.629997000000003,0.1900020000000069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-26,0,-0.7699960000000061,0.09999899999999684,-1.0400010000000037,-6.800003000000004,0.1600040000000007,2.4700010000000105,-1.4299999999999926,0.20999899999999627,-0.7000039999999927,0.629997000000003,"walmart moneycard adds 2% high yield savings account, free cash deposits and family accounts","walmart inc (nyse:wmt) evp kathryn j. mclay sells 7,324 shares","walmart (nyse:wmt) receiving neutral news coverage, infotrie reports","the number one: the no. 1 thing americans are spending their stimulus checks on - even more than shopping at costco, walmart and target",walmart mexico pays mexico about $359 million in back taxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,0,-0.4799950000000024,-0.7699960000000061,0.09999899999999684,-1.0400010000000037,-6.800003000000004,0.1600040000000007,2.4700010000000105,-1.4299999999999926,0.20999899999999627,-0.7000039999999927,walmart is selling used clothes in its latest attempt to become a fashion retailer,stock market update: financials lead djia higher; walmart underperforms,amazon and walmart are all set to bounce back in india,walmart partners with thredup to offer pre-owned apparel,walmart pushes into the used apparel market,amazon&quot;s covid-19 spending could dwarf walmart&quot;s $900 million outlay,walmart strikes deal with secondhand apparel site to ramp up online fashion sales,"walmart is now selling used goods from nike, coach, michael kors and more as it dives into the $32 billion resale market",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-28,0,-1.489998,-0.4799950000000024,-0.7699960000000061,0.09999899999999684,-1.0400010000000037,-6.800003000000004,0.1600040000000007,2.4700010000000105,-1.4299999999999926,0.20999899999999627,walmart says its thousands of tech employees will continue remote work - even when pandemic subsides,3 ways dollar general outperformed walmart in the first quarter,"dollar general&quot;s strategy was to go where walmart wasn&quot;t, and it&quot;s paid off massively during the pandemic","target, walmart outbox department stores in reshaped world","the number one: the no. 1 thing americans are spending their stimulus checks on - even more than shopping at costco, walmart and target",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-29,0,-0.02999899999998945,-1.489998,-0.4799950000000024,-0.7699960000000061,0.09999899999999684,-1.0400010000000037,-6.800003000000004,0.1600040000000007,2.4700010000000105,-1.4299999999999926,"ups slaps &#39;peak&#39; surcharge on amazon, walmart, others, as delivery requests balloon post lockdown ease","ups slaps &quot;peak&quot; surcharge on amazon, walmart, others, as delivery requests balloon post lockdown ease",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01,1,-0.18000000000000682,-0.02999899999998945,-1.489998,-0.4799950000000024,-0.7699960000000061,0.09999899999999684,-1.0400010000000037,-6.800003000000004,0.1600040000000007,2.4700010000000105,dow jones rises despite civil unrest; walmart and apple close stores over weekend; microsoft replaces editors with ai,catalyst capital advisors llc decreases stock holdings in walmart inc (nyse:wmt),walmart inc (nyse:wmt) shares acquired by eqis capital management inc.,"vident investment advisory llc sells 4,222 shares of walmart inc (nyse:wmt)","thinking about buying stock in general electric, zynga inc, tilray, agenus inc, or walmart?","sectorfocus blog: amazon, target, apple and walmart adjust operations as protests turn violent",walmart&quot;s flipkart to re-apply for food retail license in india,"walmart extends senior hour while kohl&quot;s, t.j. maxx reopen with shopping time for those most at-risk of covid-19","amazon, apple, walmart, other retailers shutter stores, scale back operations in areas worst hit with protests",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-02,1,0.5199969999999894,-0.18000000000000682,-0.02999899999998945,-1.489998,-0.4799950000000024,-0.7699960000000061,0.09999899999999684,-1.0400010000000037,-6.800003000000004,0.1600040000000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-03,0,0.3500060000000076,0.5199969999999894,-0.18000000000000682,-0.02999899999998945,-1.489998,-0.4799950000000024,-0.7699960000000061,0.09999899999999684,-1.0400010000000037,-6.800003000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
