Date,Label,1,2,3,4,5,6,7,8,9,10,top1,top2,top3,top4,top5,top6,top7,top8
2018-04-13,0,[7.469970999999987],[-8.020018999999934],[5.200073999999859],[-1.349976000000197],[-12.960022000000095],[-13.519897000000128],[31.730041999999912],[-0.5],[-16.350035999999932],[],,,,,,,,
2018-04-16,1,[-11.609985000000052],[7.469970999999987],[-8.020018999999934],[5.200073999999859],[-1.349976000000197],[-12.960022000000095],[-13.519897000000128],[31.730041999999912],[-0.5],[-16.350035999999932],,,,,,,,
2018-04-17,1,[0.9799800000000687],[-11.609985000000052],[7.469970999999987],[-8.020018999999934],[5.200073999999859],[-1.349976000000197],[-12.960022000000095],[-13.519897000000128],[31.730041999999912],[-0.5],,,,,,,,
2018-04-18,0,[22.79003899999998],[0.9799800000000687],[-11.609985000000052],[7.469970999999987],[-8.020018999999934],[5.200073999999859],[-1.349976000000197],[-12.960022000000095],[-13.519897000000128],[31.730041999999912],,,,,,,,
2018-04-19,1,[-5.350097999999889],[22.79003899999998],[0.9799800000000687],[-11.609985000000052],[7.469970999999987],[-8.020018999999934],[5.200073999999859],[-1.349976000000197],[-12.960022000000095],[-13.519897000000128],,,,,,,,
2018-04-20,0,[18.299927000000025],[-5.350097999999889],[22.79003899999998],[0.9799800000000687],[-11.609985000000052],[7.469970999999987],[-8.020018999999934],[5.200073999999859],[-1.349976000000197],[-12.960022000000095],,,,,,,,
2018-04-23,0,[-9.040038999999979],[18.299927000000025],[-5.350097999999889],[22.79003899999998],[0.9799800000000687],[-11.609985000000052],[7.469970999999987],[-8.020018999999934],[5.200073999999859],[-1.349976000000197],"how facebook and google could benefit from the g.d.p.r., europe’s new privacy law",google’s parent company spends like it’s thinking of a future beyond ads,,,,,,
2018-04-24,0,[-10.410033999999996],[-9.040038999999979],[18.299927000000025],[-5.350097999999889],[22.79003899999998],[0.9799800000000687],[-11.609985000000052],[7.469970999999987],[-8.020018999999934],[5.200073999999859],,,,,,,,
2018-04-25,0,[-32.02001999999993],[-10.410033999999996],[-9.040038999999979],[18.299927000000025],[-5.350097999999889],[22.79003899999998],[0.9799800000000687],[-11.609985000000052],[7.469970999999987],[-8.020018999999934],,,,,,,,
2018-04-26,1,[-4.340026999999964],[-32.02001999999993],[-10.410033999999996],[-9.040038999999979],[18.299927000000025],[-5.350097999999889],[22.79003899999998],[0.9799800000000687],[-11.609985000000052],[7.469970999999987],,,,,,,,
2018-04-27,0,[10.530029000000013],[-4.340026999999964],[-32.02001999999993],[-10.410033999999996],[-9.040038999999979],[18.299927000000025],[-5.350097999999889],[22.79003899999998],[0.9799800000000687],[-11.609985000000052],,,,,,,,
2018-04-30,0,[-15.949951000000056],[10.530029000000013],[-4.340026999999964],[-32.02001999999993],[-10.410033999999996],[-9.040038999999979],[18.299927000000025],[-5.350097999999889],[22.79003899999998],[0.9799800000000687],,,,,,,,
2018-05-01,1,[-12.679992999999968],[-15.949951000000056],[10.530029000000013],[-4.340026999999964],[-32.02001999999993],[-10.410033999999996],[-9.040038999999979],[18.299927000000025],[-5.350097999999889],[22.79003899999998],,,,,,,,
2018-05-02,0,[23.650085999999874],[-12.679992999999968],[-15.949951000000056],[10.530029000000013],[-4.340026999999964],[-32.02001999999993],[-10.410033999999996],[-9.040038999999979],[18.299927000000025],[-5.350097999999889],,,,,,,,
2018-05-03,1,[-3.719970999999987],[23.650085999999874],[-12.679992999999968],[-15.949951000000056],[10.530029000000013],[-4.340026999999964],[-32.02001999999993],[-10.410033999999996],[-9.040038999999979],[18.299927000000025],,,,,,,,
2018-05-04,1,[4.7199710000001005],[-3.719970999999987],[23.650085999999874],[-12.679992999999968],[-15.949951000000056],[10.530029000000013],[-4.340026999999964],[-32.02001999999993],[-10.410033999999996],[-9.040038999999979],google will ask buyers of u.s. election ads to prove identities,,,,,,,
2018-05-07,1,[31.30993699999999],[4.7199710000001005],[-3.719970999999987],[23.650085999999874],[-12.679992999999968],[-15.949951000000056],[10.530029000000013],[-4.340026999999964],[-32.02001999999993],[-10.410033999999996],,,,,,,,
2018-05-08,0,[5.56005899999991],[31.30993699999999],[4.7199710000001005],[-3.719970999999987],[23.650085999999874],[-12.679992999999968],[-15.949951000000056],[10.530029000000013],[-4.340026999999964],[-32.02001999999993],google strikes humble tone while promoting a.i. technology,,,,,,,
2018-05-09,1,[-4.630004999999983],[5.56005899999991],[31.30993699999999],[4.7199710000001005],[-3.719970999999987],[23.650085999999874],[-12.679992999999968],[-15.949951000000056],[10.530029000000013],[-4.340026999999964],,,,,,,,
2018-05-10,1,[24.660033999999996],[-4.630004999999983],[5.56005899999991],[31.30993699999999],[4.7199710000001005],[-3.719970999999987],[23.650085999999874],[-12.679992999999968],[-15.949951000000056],[10.530029000000013],,,,,,,,
2018-05-11,1,[11.53991700000006],[24.660033999999996],[-4.630004999999983],[5.56005899999991],[31.30993699999999],[4.7199710000001005],[-3.719970999999987],[23.650085999999874],[-12.679992999999968],[-15.949951000000056],"kevin’s week in tech: are google’s a.i.-powered phone calls cool, creepy, or both?",,,,,,,
2018-05-14,1,[4.660033999999996],[11.53991700000006],[24.660033999999996],[-4.630004999999983],[5.56005899999991],[31.30993699999999],[4.7199710000001005],[-3.719970999999987],[23.650085999999874],[-12.679992999999968],,,,,,,,
2018-05-15,0,[0.1999510000000555],[4.660033999999996],[11.53991700000006],[24.660033999999996],[-4.630004999999983],[5.56005899999991],[31.30993699999999],[4.7199710000001005],[-3.719970999999987],[23.650085999999874],,,,,,,,
2018-05-16,1,[-10.770019999999931],[0.1999510000000555],[4.660033999999996],[11.53991700000006],[24.660033999999996],[-4.630004999999983],[5.56005899999991],[31.30993699999999],[4.7199710000001005],[-3.719970999999987],google’s file on me was huge. here’s why it wasn’t as creepy as my facebook data.,,,,,,,
