Date,Label,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24
2020-10-20,0,ifm investors pty ltd increases position in dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,,,,
2020-10-21,1,"dell technologies embraces ""as-a-service"" models with project apex",dell looks to hybrid cloud for next chapter amid vmware talks,ten ways dell technologies&quot; innovation engine is modernizing it,dell technologies project apex accelerates as-a-service strategy,"dell inc. (nyse:dell) given consensus rating of ""hold"" by brokerages",dell technologies&quot; cloud console control layer to manage the future of hybrid cloud,"dell technologies launches cloud console, eyes everything-as-a-service via project apex",,,,,,,,,,,,,,,,,
2020-10-22,0,dell&quot;s g5 15 gaming laptop is 27 percent off right now,dell inc. (nyse:dell) holdings increased by asset dedication llc,asset dedication llc grows stock holdings in dell inc. (nyse:dell),pinning down dell technologies inc.&quot;s (nyse:dell) p/e is difficult right now,dell inc. (nyse:dell) stock holdings trimmed by candriam luxembourg s.c.a.,dell: the growth is coming,,,,,,,,,,,,,,,,,,
2020-10-23,0,dell latitude 9510 2-in-1 review: this battery means business,,,,,,,,,,,,,,,,,,,,,,,
2020-10-26,0,was the smart money right about embracing dell technologies inc. (dell)?,envestnet asset management inc. reduces position in dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,,,
2020-10-27,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-28,0,"hedge fund and insider trading news: ray dalio, anthony scaramucci, steve cohen, david einhorn, stanley druckenmiller, shake shack inc (shak), dell technologies inc (dell), and more",dell inc. (nyse:dell) shares sold by mai capital management,dell (nyse:dell) stock price down 5%,"insider selling: dell inc. (nyse:dell) coo sells 100,000 shares of stock",financial contrast: dell (nyse:dell) vs. sector 5 (nyse:sfiv),,,,,,,,,,,,,,,,,,,
2020-10-29,1,"dell inc. (nyse:dell) cfo thomas w. sweet sells 33,519 shares","standard life aberdeen plc purchases 2,461 shares of dell inc. (nyse:dell)","jeffrey w. clarke sells 33,418 shares of dell inc. (nyse:dell) stock",,,,,,,,,,,,,,,,,,,,,
2020-10-30,0,dell inc. (nyse:dell) shares sold by alberta investment management corp,"jeffrey w. clarke sells 100,000 shares of dell inc. (nyse:dell) stock",,,,,,,,,,,,,,,,,,,,,,
2020-11-02,0,woolworths selects dell technologies cloud to deploy hybrid cloud strategy,,,,,,,,,,,,,,,,,,,,,,,
2020-11-03,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-04,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-05,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-06,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-09,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-10,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-11,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-12,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-13,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-16,1,top dealmaker leaves goldman sachs to run michael dell's investment firm,breaking down dell technologies stock ahead of earnings,,,,,,,,,,,,,,,,,,,,,,
2020-11-17,1,dell alann appointed as l.a. deputy bureau chief of cbs news,,,,,,,,,,,,,,,,,,,,,,,
2020-11-18,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-19,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-20,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-23,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-24,1,dell technologies' (dell) management on q3 2021 results - earnings call transcript,"marketwatch first take: hp, dell results buoyed again by work-from-home trend, but are they sustainable?","pc sales help hp, dell offset weak office spending",dell technologies (dell) q3 earnings and revenues top estimates,dell technologies: q3 earnings insights,"stocks making the biggest moves after hours: gap, nordstrom, dell technologies & more","dell technologies&quot; q3 shines as remote work, learning stokes pc demand","dell technologies eps beats by $0.61, beats on revenue",remote work and learn solutions drive dell technologies&quot; third quarter fiscal 2021 financial results,"hp, dell earnings on deck: pandemic tailwinds will continue, chromebook mix threatens margins",options traders bet on a new 52-week high for dell after it reports earnings,a look into dell&quot;s debt,a look into dell technologies price over earnings,bonawyn eison sees unusual options activity in dell technologies,,,,,,,,,,
2020-11-25,0,hp and dell earnings: sales increase for hp and dell due to coronavirus and stay-at-home work,"hp, dell get boost from work-from-home, school-at-home trends","bull notes pour in for dell following earnings, revenue beat",dell technologies' net income climbs to £660 million in fiscal q3,"dell black friday deals: xps 15, g5 gaming laptop, and more","costco black friday deals: hp chromebook, dell xps 13, more","black friday laptop deals: save $500 on hp envy, $430 on microsoft surface pro, $400 on dell xps and more     - cnet",dell technologies inc. 2020 q3 - results - earnings call presentation,"dell beats q3 earnings, revenues up on solid consumer demand",dell reports green shoots in enterprise infrastructure biz after seven consecutive quarters of shrinkage,pandemic boosts sales for dell and hp as revenues exceed estimates,dell price targets raised after q3 beats but shares drop on soft q4 sales outlook,"top analyst upgrades and downgrades: analog devices, apple, best buy, dell, dollar tree, fastly, ge, gm, hp, medtronic, zscaler and more","earnings results: dell, vmware shares slip after earnings beats",dell technologies to present at investor conferences the week of november 30th,"gap, deere, hp, dell: what to watch when the market opens today","google chromebook demand booms for dell, hp, lenovo","dell technologies inc. (nyse:dell) coo jeffrey w. clarke sells 53,130 shares","jeffrey w. clarke sells 200,000 shares of dell technologies inc. (nyse:dell) stock",dell technologies&quot; net income climbs to 660 million in fiscal q3,dell reports surprise revenue growth in q3; target price $82,dell technologies&quot; (dell) management on q3 2021 results - earnings call transcript,dell sees sales above estimates on booming demand for remote-work tools,"marketwatch first take: hp, dell results buoyed again by work-from-home trend, but are they sustainable?"
2020-11-27,1,dell technologies (dell) upgraded to buy: here's why,"dell is offering black friday deals of up to 36% off computers and monitors, including high-end xps and alienware systems",dell technologies (dell) upgraded to buy: here&quot;s why,is dell technologies (dell) stock outpacing its computer and technology peers this year?,"costco black friday deals: hp chromebook, dell xps 13, more","the best black friday 2020 deals on laptops from apple, dell, hp, and more","dell black friday deals: xps 15, g5 gaming laptop, and more","victory capital management inc. acquires 6,864 shares of dell technologies inc. (nyse:dell)",dell technologies (nyse:dell) downgraded to strong sell at valuengine,"best black friday laptop deals: save $400 on dell xps 13, $430 on microsoft surface pro 7, macbook air discounts and more     - cnet",citigroup inc. 3% minimum coupon principal protected based upon russell increases dell technologies (nyse:dell) price target to $82.00,dell technologies (nyse:dell) pt raised to $80.00,dell technologies (nyse:dell) pt raised to $95.00 at morgan stanley,dell technologies (nyse:dell) pt raised to $85.00,dell technologies (nyse:dell) pt raised to $84.00 at ubs group,,,,,,,,,
2020-11-30,0,dell ceo: the year ahead will be another very strong one,"cyber monday laptop deals: hp, dell, macbook, lenovo and more","best cyber monday laptop deals: discounts on hp pavilion, dell xps, microsoft surface and lenovo thinkpad laptops and more     - cnet",,,,,,,,,,,,,,,,,,,,,
2020-12-01,1,dell technologies' (dell) management presents at 2020 wells fargo tmt summit conference (transcript),dell technologies&quot; (dell) management presents at 2020 wells fargo tmt summit conference (transcript),dell vs. mdla: which stock is the better value option?,lpl financial llc cuts stock position in dell technologies inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,
2020-12-02,0,dell technologies (dell) is up 2.17% in one week: what you should know,"dell most trusted brand for 2nd straight year, iphone at 4th slot: report",dell technologies to present at investor conferences the week of december 7th,,,,,,,,,,,,,,,,,,,,,
2020-12-03,1,dell technologies inc. (dell) management presents at credit suisse 24th annual technology virtual conference - earnings call transcript,dell announces new solutions for its supply chain&quot;s security,dell announces new protections for its pc and server supply chain,"best buy thursday flash sale laptop deals: save $120 on acer nitro gaming laptop, $300 on dell inspiron, $350 on hp spectre and more     - cnet",,,,,,,,,,,,,,,,,,,,
2020-12-04,1,dell and vmware report impressive quarterly results: material upside remains,dell technologies inc. (nyse:dell) shares sold by us bancorp de,,,,,,,,,,,,,,,,,,,,,,
2020-12-07,0,dell technologies inc. (dell) management presents at ubs global tmt virtual conference (transcript),"wetherby asset management inc. has $403,000 holdings in dell technologies inc. (nyse:dell)",,,,,,,,,,,,,,,,,,,,,,
2020-12-08,1,dell technologies inc. (dell) management presents at raymond james technology investors conference (transcript),dell precision 5750 review: a mobile workstation combining heavyweight performance with slimline design,dell&quot;s g3 gaming laptop is a bargain at $700,"dude, taking share from dell: new &quot;netapp&quot; makes the cloud better",,,,,,,,,,,,,,,,,,,,
2020-12-09,0,"dell technologies inc. (dell) management presents at barclays global technology, media and telecommunications conference (transcript)","best holiday laptop deals: dell xps, lg gram, lenovo thinkpads and yogas all on sale     - cnet",abu dhabi department of energy inks collaboration deal with dell,how dell is redesigning its products for circularity,dell technologies inc. (dell) management presents at raymond james technology investors conference (transcript),,,,,,,,,,,,,,,,,,,
2020-12-10,1,"this dell ultrawide monitor has excellent image quality and a built-in usb-c hub, making it great for the home office despite its high price","google, intel, dell, collaboration giants like zoom, slack form modern computing alliance","google, dell, and intel form new computing group for transforming cloud and it tools","dell technologies inc. (nyse:dell) given consensus recommendation of ""hold"" by analysts",dell forms digi-data alliance,"dell technologies inc. (dell) management presents at barclays global technology, media and telecommunications conference (transcript)",,,,,,,,,,,,,,,,,,
2020-12-11,0,"google, intel, dell, vmware, others form alliance to ensure better computing",dell technologies (nyse:dell) reaches new 52-week high at $72.90,,,,,,,,,,,,,,,,,,,,,,
2020-12-14,1,"bidaskclub upgrades dell technologies (nyse:dell) to ""buy""",,,,,,,,,,,,,,,,,,,,,,,
