Date,Label,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46
2020-05-14,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-27,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-05-29,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-01,1,dow jones rises despite civil unrest; walmart and apple close stores over weekend; microsoft replaces editors with ai,"blackrock, microsoft team up on new retirement tool",microsoft ceo satya nadella addresses the protests across the us in an employee town hall: &quot;my ask to each of you is to come together&quot; (msft),a microsoft patent reveals an all-new magnetic hinge-like system for future dual display devices & accessories,why microsoft (msft) deserves a place in your portfolio,"vodafone, microsoft team up to support remotely-working businesses",shepherd financial partners llc reduces stake in microsoft co. (nasdaq:msft),tiedemann advisors llc boosts position in microsoft co. (nasdaq:msft),microsoft co. (nasdaq:msft) shares bought by goelzer investment management inc.,budros ruhlin & roe inc. buys new shares in microsoft co. (nasdaq:msft),securian asset management inc trims stock position in microsoft co. (nasdaq:msft),"wafra inc. sells 3,172 shares of microsoft co. (nasdaq:msft)",palisades hudson asset management l.p. sells 652 shares of microsoft co. (nasdaq:msft),microsoft co. (nasdaq:msft) shares purchased by camarda financial advisors llc,personal wealth partners decreases stake in microsoft co. (nasdaq:msft),microsoft co. (nasdaq:msft) shares purchased by trustcore financial services llc,microsoft co. (nasdaq:msft) shares bought by mbe wealth management llc,venture visionary partners llc grows stock position in microsoft co. (nasdaq:msft),microsoft co. (nasdaq:msft) stock position lowered by hourglass capital llc,microsoft co. (nasdaq:msft) is gs investments inc.&quot;s 6th largest position,microsoft co. (nasdaq:msft) is washington trust co&quot;s 6th largest position,microsoft co. (nasdaq:msft) holdings decreased by lafayette investments inc.,ae wealth management llc increases position in microsoft co. (nasdaq:msft),"private capital group llc acquires 3,208 shares of microsoft co. (nasdaq:msft)",corundum group inc. sells 239 shares of microsoft co. (nasdaq:msft),benjamin edwards inc. raises stock holdings in microsoft co. (nasdaq:msft),"wellington shields capital management llc sells 2,116 shares of microsoft co. (nasdaq:msft)",microsoft informs journalists their services are no longer needed due to ai,microsoft to establish new tech hub at reston town center,,,,,,,,,,,,,,,,,
2020-06-02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-03,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-08,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-16,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
